"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"2022-02-01 00:00:00",98.49796
"2022-03-01 00:00:00",97.95445
"2022-04-01 00:00:00",97.56008
"2022-05-01 00:00:00",97.18614
"2022-06-01 00:00:00",96.81408
"2022-07-01 00:00:00",96.6148
"2022-08-01 00:00:00",96.62447
"2022-09-01 00:00:00",96.64845
"2022-10-01 00:00:00",96.74806
"2022-11-01 00:00:00",96.92993
"2022-12-01 00:00:00",97.20286
"2023-01-01 00:00:00",97.50848
"2023-02-01 00:00:00",97.75454
"2023-03-01 00:00:00",97.9194
"2023-04-01 00:00:00",98.12475
"2023-05-01 00:00:00",98.3099
"2023-06-01 00:00:00",98.48907
"2023-07-01 00:00:00",98.57431
"2023-08-01 00:00:00",98.47832
"2023-09-01 00:00:00",98.32042
"2023-10-01 00:00:00",98.21912
"2023-11-01 00:00:00",98.32724
"2023-12-01 00:00:00",98.65212
"2024-01-01 00:00:00",98.99636
"2024-02-01 00:00:00",99.18212
"2024-03-01 00:00:00",99.23793
"2024-04-01 00:00:00",99.15955
"2024-05-01 00:00:00",99.01525
"2024-06-01 00:00:00",98.93217
"2024-07-01 00:00:00",98.90739
"2024-08-01 00:00:00",98.93565
"2024-09-01 00:00:00",98.99074
"2024-10-01 00:00:00",99.05648
